                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0198,                   2.09,                 1.6179,                0.80443,                0.80208,                0.88367,                0.64949,                 1.0125,                  1.937,                 2.0153,             0.00055312,             0.00055312,             0.00055312
                      2,                0.94886,                 1.5499,                  1.514,                0.72201,                0.88477,                0.88048,                0.65168,                0.88365,                 1.6021,                 1.8907,              0.0010931,              0.0010931,              0.0010931
                      3,                 1.0232,                 1.5212,                  1.572,                0.62896,                0.91904,                0.82663,                0.65449,                 0.8724,                 1.5278,                 1.8814,              0.0016174,              0.0016174,              0.0016174
                      4,                0.96652,                 1.4157,                 1.5417,                0.60633,                0.88063,                0.79236,                0.57423,                 1.0036,                 1.4362,                 2.0254,              0.0015963,              0.0015963,              0.0015963
                      5,                0.98044,                 1.2704,                 1.5328,                0.72908,                0.88171,                0.93648,                0.65772,                 1.1279,                 1.3032,                 2.1211,              0.0015727,              0.0015727,              0.0015727
                      6,                0.94839,                 1.2132,                 1.5293,                0.78171,                0.90785,                0.91872,                0.67889,                 1.0106,                 1.0701,                  1.947,              0.0015491,              0.0015491,              0.0015491
                      7,                0.90816,                 1.1182,                 1.4765,                0.90016,                0.87015,                0.92899,                0.70339,                0.87051,                0.89194,                 1.8548,              0.0015255,              0.0015255,              0.0015255
                      8,                0.87531,                 1.0435,                 1.4427,                0.76896,                0.89776,                0.95318,                0.73409,                 0.8722,                0.98066,                 1.7939,               0.001502,               0.001502,               0.001502
                      9,                0.92206,                 1.0795,                 1.4773,                0.76644,                0.91904,                0.96541,                0.70999,                0.91711,                 0.9526,                 1.8095,              0.0014784,              0.0014784,              0.0014784
                     10,                0.90551,                  1.031,                 1.4839,                0.85151,                0.85369,                0.96472,                0.73872,                 0.8197,                 0.8538,                 1.6974,              0.0014548,              0.0014548,              0.0014548
                     11,                0.89448,                 1.0008,                 1.4581,                 0.8546,                0.91904,                0.96973,                0.76253,                0.84887,                0.71468,                 1.7279,              0.0014312,              0.0014312,              0.0014312
                     12,                0.86428,                0.98053,                 1.4523,                 0.9411,                 0.9102,                0.97499,                0.76616,                0.80701,                0.64607,                 1.6748,              0.0014077,              0.0014077,              0.0014077
                     13,                0.90302,                0.94313,                 1.4618,                0.87512,                0.89784,                 0.9715,                0.71481,                0.98634,                0.78013,                 1.9335,              0.0013841,              0.0013841,              0.0013841
                     14,                0.82151,                0.85877,                 1.4184,                0.86458,                0.89444,                0.95124,                 0.7218,                0.89638,                0.70368,                 1.8156,              0.0013605,              0.0013605,              0.0013605
                     15,                0.86431,                0.88841,                 1.4573,                0.91326,                0.94996,                0.97092,                0.73488,                0.86212,                0.64145,                 1.7326,              0.0013369,              0.0013369,              0.0013369
                     16,                 0.8438,                0.85405,                 1.4075,                0.92057,                0.87956,                0.97241,                0.74034,                 0.8559,                0.66928,                 1.8373,              0.0013134,              0.0013134,              0.0013134
                     17,                0.84656,                0.86983,                 1.4207,                0.72864,                0.87984,                0.95138,                0.62862,                0.96277,                 1.1059,                 1.8591,              0.0012898,              0.0012898,              0.0012898
                     18,                0.83757,                0.83232,                 1.4214,                 0.9007,                0.93765,                0.97649,                0.76909,                0.82732,                0.61801,                 1.6654,              0.0012662,              0.0012662,              0.0012662
                     19,                0.85325,                0.79583,                 1.4173,                0.90224,                0.90796,                0.97104,                 0.7684,                0.77136,                0.61912,                 1.6382,              0.0012426,              0.0012426,              0.0012426
                     20,                0.81456,                0.80327,                 1.4028,                0.87039,                0.92961,                0.96827,                0.74135,                0.88613,                0.59202,                  1.692,              0.0012191,              0.0012191,              0.0012191
                     21,                0.80993,                0.84236,                 1.3753,                 0.8212,                0.88712,                0.97427,                0.73107,                 0.8926,                0.70566,                  1.738,              0.0011955,              0.0011955,              0.0011955
                     22,                0.80472,                0.82449,                 1.3856,                0.93715,                0.94446,                0.97725,                0.76838,                0.81339,                0.58705,                  1.679,              0.0011719,              0.0011719,              0.0011719
                     23,                0.82741,                0.77194,                 1.3961,                0.91585,                0.89776,                0.95813,                0.72962,                0.87998,                0.61741,                 1.8376,              0.0011483,              0.0011483,              0.0011483
                     24,                0.81759,                0.73461,                 1.4042,                0.87551,                0.90481,                0.97294,                0.73673,                0.93001,                0.64979,                 1.7486,              0.0011247,              0.0011247,              0.0011247
                     25,                0.79873,                0.71739,                  1.388,                0.90199,                0.98075,                 0.9797,                0.74029,                0.90683,                0.55171,                 1.7543,              0.0011012,              0.0011012,              0.0011012
                     26,                0.78217,                0.74299,                 1.3679,                0.85693,                0.93978,                0.97763,                0.71931,                0.99973,                0.63812,                 1.8586,              0.0010776,              0.0010776,              0.0010776
                     27,                0.81926,                0.74016,                 1.4154,                0.93839,                 0.9404,                0.97269,                0.75891,                0.85036,                0.53772,                  1.702,               0.001054,               0.001054,               0.001054
                     28,                0.80318,                  0.722,                  1.404,                 0.8888,                0.91793,                0.97004,                0.73665,                0.88399,                 0.6079,                 1.7892,              0.0010304,              0.0010304,              0.0010304
                     29,                0.80956,                0.74603,                 1.3925,                0.89287,                0.93814,                0.97487,                0.74485,                 0.9277,                 0.5158,                 1.7442,              0.0010069,              0.0010069,              0.0010069
                     30,                0.78745,                 0.6843,                 1.3556,                0.89959,                0.87272,                0.96806,                 0.7579,                0.80356,                0.61709,                 1.6619,             0.00098329,             0.00098329,             0.00098329
                     31,                0.76977,                0.69001,                 1.3752,                0.90215,                0.91821,                0.97751,                 0.7358,                0.91377,                0.53991,                  1.745,             0.00095972,             0.00095972,             0.00095972
                     32,                0.76501,                0.71115,                 1.3746,                0.90978,                 0.9486,                 0.9722,                0.74791,                0.87624,                0.52265,                 1.7758,             0.00093614,             0.00093614,             0.00093614
                     33,                0.77972,                0.67517,                 1.3797,                  0.945,                0.93961,                0.98038,                0.75837,                0.87505,                 0.4719,                 1.6876,             0.00091256,             0.00091256,             0.00091256
                     34,                0.77829,                0.65328,                 1.3704,                0.97181,                0.94783,                0.98488,                0.78274,                0.80746,                0.45296,                 1.6213,             0.00088899,             0.00088899,             0.00088899
                     35,                0.76349,                0.65169,                 1.3615,                0.95738,                 0.9037,                0.97551,                0.76703,                0.82766,                0.47302,                 1.6215,             0.00086541,             0.00086541,             0.00086541
                     36,                0.75721,                0.64086,                 1.3449,                0.90264,                0.91904,                0.97187,                0.77762,                0.76301,                0.56643,                 1.6101,             0.00084184,             0.00084184,             0.00084184
                     37,                0.76456,                0.68824,                 1.3816,                0.82951,                0.89287,                0.96602,                 0.7339,                0.87638,                0.75817,                 1.7795,             0.00081826,             0.00081826,             0.00081826
                     38,                0.74339,                0.70506,                 1.3476,                0.88909,                 0.9478,                0.97634,                0.77698,                0.78704,                0.50982,                 1.6352,             0.00079468,             0.00079468,             0.00079468
                     39,                0.76938,                0.68997,                  1.382,                0.86714,                0.91144,                0.96963,                0.76529,                0.81578,                0.58143,                 1.6541,             0.00077111,             0.00077111,             0.00077111
                     40,                0.76451,                0.67391,                 1.3344,                0.91651,                0.91866,                0.98141,                0.78579,                0.76548,                0.51537,                 1.6099,             0.00074753,             0.00074753,             0.00074753
                     41,                 0.7385,                0.62024,                 1.3503,                0.95431,                 0.9021,                0.97564,                0.76828,                0.80968,                0.47255,                 1.6301,             0.00072395,             0.00072395,             0.00072395
                     42,                0.74651,                0.62733,                 1.3368,                0.89977,                0.94708,                 0.9744,                0.75599,                0.83773,                0.49426,                 1.6551,             0.00070038,             0.00070038,             0.00070038
                     43,                0.73491,                 0.6114,                  1.342,                0.91025,                0.89749,                0.98299,                0.77698,                0.81073,                0.55642,                 1.6277,              0.0006768,              0.0006768,              0.0006768
                     44,                0.72549,                0.60713,                 1.3539,                0.95303,                0.93716,                0.97879,                0.76556,                0.80943,                0.48405,                 1.6872,             0.00065323,             0.00065323,             0.00065323
                     45,                0.76764,                0.60828,                 1.3673,                0.94259,                0.92691,                0.97814,                 0.7708,                 0.8361,                 0.4723,                  1.635,             0.00062965,             0.00062965,             0.00062965
                     46,                0.71909,                0.57464,                  1.329,                 0.9392,                0.93752,                0.98262,                0.76012,                0.82128,                 0.4819,                 1.6334,             0.00060607,             0.00060607,             0.00060607
                     47,                0.72605,                0.60566,                  1.358,                0.86086,                0.91482,                0.98187,                0.77358,                0.82172,                0.59162,                 1.6519,              0.0005825,              0.0005825,              0.0005825
                     48,                0.72574,                0.58762,                 1.3119,                0.93546,                0.94871,                0.98187,                 0.7882,                0.77917,                0.45215,                 1.6067,             0.00055892,             0.00055892,             0.00055892
                     49,                0.73311,                0.58174,                 1.3303,                0.90769,                0.96083,                0.98202,                0.76846,                0.82986,                 0.4592,                 1.6547,             0.00053535,             0.00053535,             0.00053535
                     50,                0.70713,                0.54739,                 1.3258,                0.94699,                0.92496,                0.97928,                0.78463,                0.79002,                0.47537,                 1.6128,             0.00051177,             0.00051177,             0.00051177
                     51,                0.74642,                0.53832,                 1.3473,                0.95708,                0.92968,                0.97934,                0.78734,                 0.7844,                0.44797,                 1.6189,             0.00048819,             0.00048819,             0.00048819
                     52,                0.68679,                0.56761,                 1.3133,                0.91814,                0.97908,                0.98248,                 0.7824,                0.77678,                0.42629,                 1.5954,             0.00046462,             0.00046462,             0.00046462
                     53,                 0.7294,                0.57242,                 1.3488,                0.94182,                 0.9486,                0.97966,                0.77807,                 0.8318,                0.44594,                 1.6505,             0.00044104,             0.00044104,             0.00044104
                     54,                 0.7271,                0.55607,                 1.3035,                0.90302,                0.96728,                0.97807,                0.78063,                0.79741,                0.44679,                 1.6166,             0.00041746,             0.00041746,             0.00041746
                     55,                0.68766,                0.53205,                 1.3029,                0.90405,                0.97637,                0.98499,                0.77894,                0.81271,                0.44461,                 1.6435,             0.00039389,             0.00039389,             0.00039389
